epoch_num,val_loss,val_ages_output_loss,val_gender_output_loss,ages_output_acc,gender_output_acc,val_gender_output_acc,val_ages_output_acc
0,1.160260796546936,0.46675053238868713,0.6935102343559265,0.0,0.546875,0.5,0.0
1,1.1535682479540508,0.45987450579802197,0.6936937769254049,0.0,0.4516129041871717,0.5,0.0
2,0.9141068259874979,0.2214852198958397,0.6926216085751852,0.016129032738747134,0.5161290322580645,0.6666666666666666,0.0
3,1.0293503105640411,0.33584004640579224,0.6935102343559265,0.0,0.548387098696924,0.5,0.0
4,1.1514410575230916,0.45774728059768677,0.6936937769254049,0.016129032738747134,0.46774193740660147,0.5,0.0
5,0.8698624769846598,0.17724085847536722,0.6926216085751852,0.0,0.612903227729182,0.6666666666666666,0.08333333333333333
6,1.016782820224762,0.32327256351709366,0.6935102343559265,0.016129032738747134,0.43548387192910715,0.5,0.0625
7,1.0548399488131206,0.36114617188771564,0.6936937769254049,0.016129032738747134,0.4516129041871717,0.5,0.0
8,0.7764346599578857,0.08381304889917374,0.6926216085751852,0.016129032738747134,0.5322580664388595,0.6666666666666666,0.08333333333333333
9,0.9262884259223938,0.23277821391820908,0.6935102343559265,0.0,0.53125,0.5,0.0625
10,0.9503222703933716,0.25662847359975177,0.6936937769254049,0.016129032738747134,0.483870969664666,0.5,0.0
11,0.7636754115422567,0.0710538166264693,0.6926216085751852,0.016129032738747134,0.3870967741935484,0.6666666666666666,0.08333333333333333
12,0.8999258577823639,0.20641559548676014,0.6935102343559265,0.016129032738747134,0.6290322599872467,0.5,0.0625
13,0.8864525556564331,0.19275877873102823,0.6936937769254049,0.016129032738747134,0.5806451593675921,0.5,0.0
14,0.7745707432428995,0.08194912721713384,0.6926216085751852,0.016129032738747134,0.5645161290322581,0.6666666666666666,0.08333333333333333
15,0.9150499701499939,0.2215397246181965,0.6935102343559265,0.016129032738747134,0.40322580693229554,0.5,0.0625
16,0.9736375411351522,0.2799437741438548,0.6936937769254049,0.016129032738747134,0.43548387192910715,0.5,0.0
