epoch_num,val_loss,val_ages_output_loss,val_gender_output_loss,ages_output_acc,gender_output_acc,val_gender_output_acc,val_ages_output_acc
0,3.336311101913452,0.24492712691426277,3.091383934020996,0.0,0.609375,0.5625,0.0625
1,1.7752490441004436,0.2799437741438548,1.495305339495341,0.016129032738747134,0.612903227729182,0.5,0.0
2,1.4324580828348796,0.10758266349633534,1.3248754541079204,0.016129032738747134,0.6290322580645161,0.3333333333333333,0.08333333333333333
3,2.2103241086006165,0.24492712691426277,1.9653969407081604,0.016129032738747134,0.7258064516129032,0.625,0.0625
4,1.2291425069173176,0.2799437741438548,0.9491987228393555,0.016129032738747134,0.6935483851740437,0.75,0.0
5,2.5672055085500083,0.10758266349633534,2.459622780481974,0.016129032738747134,0.7580645142063018,0.3333333333333333,0.08333333333333333
6,1.8734471797943115,0.24492712691426277,1.6285200715065002,0.016129032738747134,0.7580645161290323,0.3125,0.0625
7,1.4752166668574016,0.2799437741438548,1.1952728827794392,0.016129032738747134,0.7096774193548387,0.5833333333333334,0.0
8,2.3832459449768066,0.10758266349633534,2.275663216908773,0.016129032738747134,0.7741935464643663,0.5,0.08333333333333333
9,1.8198624849319458,0.24492712691426277,1.5749353468418121,0.0,0.828125,0.5625,0.0625
