epoch_num,val_loss,val_ages_output_loss,val_gender_output_loss,ages_output_acc,gender_output_acc,val_gender_output_acc,val_ages_output_acc
0,0.711021218970601,0.017916344118782797,0.693104875102383,1.644736842105263e-05,0.5022916666666667,0.5120546683046683,0.00015356265356265356
1,0.7095517859812699,0.01644667352144633,0.6931051123443163,1.6451968478028397e-05,0.5033150716484862,0.5120836054820298,0.0001536865562684904
2,0.7070666392404549,0.013962422160888834,0.6931042166005755,1.0967978985352264e-05,0.5029805482909039,0.5122565028578319,0.0001536865562684904
3,0.7066126289619404,0.013507911845275639,0.6931047179327305,2.193595797070453e-05,0.502640540942031,0.5121412379406305,0.0001536865562684904
4,0.7054276669364815,0.012322761707542339,0.6931049061979412,2.193595797070453e-05,0.5010227640405476,0.5120259730234291,0.00013447573673492911
5,0.7057149351025606,0.012610250898757574,0.693104685248307,2.193595797070453e-05,0.5036989509133003,0.512122027121097,0.00013447573673492911
6,0.7058722737355151,0.012767182715898696,0.6931050910921126,2.193595797070453e-05,0.5029202244068113,0.5120259730234291,0.00013447573673492911
7,0.7061730778239759,0.013068445388997893,0.6931046318979476,2.193595797070453e-05,0.5041047661372293,0.5121028163015634,0.0001536865562684904
8,0.7060358530414197,0.01293151346210817,0.6931043400099235,2.193595797070453e-05,0.5028873204680574,0.5121028163015634,0.0001536865562684904
9,0.70561615288837,0.012511456362640042,0.6931046966072435,2.193595797070453e-05,0.5037373388397491,0.5120643946624963,0.0001536865562684904
