epoch_num,val_loss,val_ages_output_loss,val_gender_output_loss,ages_output_acc,gender_output_acc,val_gender_output_acc,val_ages_output_acc
0,0.5365863307271956,0.012316245862733818,0.5242700849344916,2.192886276917679e-05,0.7035272575764221,0.7644496469143384,0.0001343260669327602
1,0.5295666253994532,0.012316233416729003,0.5172503921377569,2.1929223431375235e-05,0.7597105342508692,0.7738821723300559,0.00013433122241412397
2,0.5166458220702401,0.012313043829323512,0.504332778360491,2.1929223431375235e-05,0.7696609193828557,0.781999616198795,0.00013433122241412397
3,0.5190390536296027,0.012318300293430378,0.5067207534169995,2.1929223431375235e-05,0.7746607823252093,0.7815774323523468,0.00013433122241412397
4,0.5129782258743655,0.012316791855116561,0.5006614341316743,2.1929223431375235e-05,0.7788602286123176,0.786144693914427,0.00013433122241412397
5,0.5110887948896166,0.012318305637588433,0.4987704895046434,2.1929223431375235e-05,0.780954469450014,0.7870466321220647,0.00013433122241412397
6,0.5090831226017809,0.012318596243474084,0.4967645264866027,2.1929223431375235e-05,0.7837943038843771,0.7884475148700977,0.00013433122241412397
7,0.5080836677661077,0.01231653006164551,0.4957671377531193,2.1929223431375235e-05,0.7846824374338379,0.7888121281880789,0.00013433122241412397
8,0.5092177399562293,0.012316944397139862,0.4969007956023135,2.1929223431375235e-05,0.7865135275898676,0.7890040299343848,0.00013433122241412397
9,0.5056754608182664,0.012315495234478578,0.4933599658145989,2.1929223431375235e-05,0.787873139443103,0.7896564958718248,0.00013433122241412397
10,0.5059592248793642,0.012317292068310538,0.4936419329197616,2.1929223431375235e-05,0.78818563087651,0.7893110727284742,0.00013433122241412397
11,0.5067334131255669,0.012318698442105874,0.49441471483720695,2.1929223431375235e-05,0.7900934733150397,0.7881980425999,0.00013433122241412397
12,0.5057858609576711,0.012317683642002359,0.49346817751531064,2.1929223431375235e-05,0.7911022175928829,0.7904241028570483,0.00013433122241412397
13,0.5052259950463042,0.012313100858649582,0.49291289433067714,2.1929223431375235e-05,0.7921383734000154,0.7887737478388177,0.00013433122241412397
14,0.5046153044156163,0.012318579396847768,0.4922967250757541,2.1929223431375235e-05,0.7927798031853831,0.7889080790612318,0.00013433122241412397
15,0.5051572032039762,0.01231785280063621,0.49283935055122385,2.1929223431375235e-05,0.793739206710996,0.788946459410493,0.00013433122241412397
16,0.5072440169956103,0.012317000863418795,0.4949270162717826,2.1929223431375235e-05,0.7931142238432017,0.7866820188086587,0.00013433122241412397
17,0.5067783626982082,0.012318034189102864,0.4944603286327544,2.1929223431375235e-05,0.7938324059100891,0.7871042026459565,0.00013433122241412397
